# Created at 2020-06-08 17:52 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
62,379,UTHU,-1776627.476,-4462027.44,4185223.643,41.26047125,-111.710764064,1534.7873,0,TRM57971.00     NONE,Huntsville,TRIMBLE,TRIMBLE ALLOY,Nav 5.43 / Boot 5.43,5940R40012
16,378,UTHR,-1820709.82303202,-4502585.70812084,4122703.96034948,40.516399919,-112.016922422,1476.837,0,TRM55971.00     NONE,Herriman,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5411K48131
84,377,UTHN,-2012573.942,-4673443.235,3834444.176,37.185694861,-113.298669064,1013.6022,0,TRM55971.00     NONE,Hurricane,TRIMBLE,TRIMBLE NETR5,Nav 4.19 / Boot 4.19,4725K10169
3,376,UTHE,-1772705.733,-4522623.696,4122055.433,40.506934771,-111.403392141,1708.9176,0,TRM55971.00     NONE,Heber,TRIMBLE,TRIMBLE NETR5,Nav 48.01 / Boot 48.01,4718K10054
55,375,UTHA,-1771848.912,-4683791.108,3938948.141,38.37478017,-110.721317268,1299.0365,0,TRM55971.00     NONE,Hanksville,TRIMBLE,TRIMBLE NETR3,Nav 4.70 / Boot 4.70,4833K57886
60,374,UTGV,-1710771.965,-4660481.433,3992748.453,38.996049291,-110.157202722,1227.2822,0,TRM55971.00     NONE,Green River,TRIMBLE,TRIMBLE NETR5,Nav 0.00 / Boot 3.60,4814K54987
20,373,UTGR,-1855070.003,-4481496.81,4130065.076,40.604845014,-112.486611552,1319.9144,0,TRM57971.00     NONE,Grantsville,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5750R51648
72,372,UTGN,-2023735.101,-4538117.541,3987954.197,38.937856846,-114.03407734,1592.6022,0,TRM55971.00     NONE,Garrison,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4833K57774
73,371,UTGK,-1891554.922,-4453969.195,4143323.785,40.761558043,-113.010432335,1410.4524,0,TRM55971.00     NONE,Grassy Knoll,TRIMBLE,TRIMBLE ALLOY,Nav 5.43 / Boot 5.43,5940R40025
24,370,UTFI,-1886626.738,-4594519.515,3990526.527,38.967863488,-112.32430201,1562.6261,0,TRM57971.00     NONE,Fillmore,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5439R49410
